"Date","Price","Open","High","Low","Vol","Change"
"09/16/2023","1,634.40","1,642.47","1,650.02","1,631.72","99.57K","-0.42%"
"09/15/2023","1,641.30","1,626.48","1,652.40","1,612.22","181.34K","0.91%"
"09/14/2023","1,626.48","1,607.83","1,639.08","1,607.06","275.29K","1.17%"
"09/13/2023","1,607.61","1,593.01","1,614.36","1,582.01","223.45K","0.95%"
"09/12/2023","1,592.46","1,551.63","1,617.33","1,549.67","329.75K","2.61%"
"09/11/2023","1,551.88","1,617.65","1,618.78","1,533.91","417.39K","-4.05%"
"09/10/2023","1,617.41","1,635.64","1,635.70","1,604.18","207.96K","-1.11%"
"09/09/2023","1,635.54","1,636.63","1,637.20","1,630.11","58.53K","-0.05%"
"09/08/2023","1,636.44","1,648.00","1,657.49","1,618.43","221.60K","-0.71%"
"09/07/2023","1,648.08","1,633.27","1,657.98","1,624.04","228.53K","0.91%"
"09/06/2023","1,633.14","1,634.38","1,667.32","1,610.26","219.59K","-0.08%"
"09/05/2023","1,634.46","1,629.87","1,647.74","1,610.00","204.37K","0.24%"
"09/04/2023","1,630.52","1,635.85","1,643.30","1,618.51","168.01K","-0.33%"
"09/03/2023","1,635.85","1,637.03","1,645.10","1,625.59","116.78K","-0.07%"
"09/02/2023","1,637.03","1,629.19","1,644.59","1,628.10","102.15K","0.49%"
"09/01/2023","1,628.99","1,646.57","1,654.37","1,603.69","302.41K","-1.02%"
"08/31/2023","1,645.77","1,704.63","1,724.04","1,634.78","330.46K","-3.49%"
"08/30/2023","1,705.20","1,729.32","1,730.71","1,696.93","202.85K","-1.42%"
"08/29/2023","1,729.68","1,653.52","1,742.78","1,640.27","494.36K","4.63%"
"08/28/2023","1,653.21","1,658.05","1,660.72","1,628.92","214.33K","-0.31%"
"08/27/2023","1,658.33","1,646.65","1,660.11","1,646.33","87.79K","0.69%"
"08/26/2023","1,647.04","1,653.93","1,655.59","1,644.02","79.28K","-0.40%"
"08/25/2023","1,653.72","1,661.47","1,676.19","1,636.80","236.27K","-0.45%"
"08/24/2023","1,661.16","1,679.99","1,682.99","1,642.41","231.56K","-1.12%"
"08/23/2023","1,679.92","1,635.52","1,697.60","1,629.84","374.78K","2.80%"
"08/22/2023","1,634.24","1,667.99","1,669.21","1,588.24","401.97K","-2.00%"
"08/21/2023","1,667.55","1,685.65","1,686.03","1,651.79","250.84K","-1.05%"
