source,price_date,price,open,high,low,close
COINMARKETCAP,20240304,3630.43,3489.34,3641.46,3446.02,3630.43
COINMARKETCAP,20240305,3554.96,3631.93,3828.16,3224.12,3554.96
COINMARKETCAP,20240306,3819.23,3554.07,3901.43,3502.80,3819.23
COINMARKETCAP,20240307,3874.35,3818.31,3939.59,3738.69,3874.35
COINMARKETCAP,20240308,3892.06,3874.83,3998.83,3828.36,3892.06
COINMARKETCAP,20240309,3915.42,3892.12,3950.40,3880.66,3915.42
COINMARKETCAP,20240310,3881.19,3915.59,3968.72,3800.56,3881.19
COINMARKETCAP,20240311,4066.45,3881.24,4087.05,3745.13,4066.45
COINMARKETCAP,20240312,3980.27,4066.69,4092.28,3831.89,3980.27
COINMARKETCAP,20240313,4006.46,3980.27,4083.01,3936.63,4006.46
COINMARKETCAP,20240314,3883.14,4005.75,4011.10,3721.79,3883.14
COINMARKETCAP,20240315,3735.22,3882.86,3928.78,3571.77,3735.22
COINMARKETCAP,20240316,3522.86,3736.10,3780.89,3468.08,3522.86
COINMARKETCAP,20240317,3642.41,3523.03,3676.26,3414.17,3642.41
COINMARKETCAP,20240318,3517.99,3642.30,3642.50,3456.09,3517.99
COINMARKETCAP,20240319,3157.62,3518.35,3546.58,3149.29,3157.62
COINMARKETCAP,20240320,3513.39,3158.40,3534.83,3059.65,3513.39
COINMARKETCAP,20240321,3492.99,3514.02,3586.91,3412.22,3492.99
COINMARKETCAP,20240322,3333.69,3492.90,3541.90,3254.97,3333.69
COINMARKETCAP,20240323,3336.59,3335.59,3433.76,3273.12,3336.59
COINMARKETCAP,20240324,3454.64,3336.67,3470.34,3301.28,3454.64
COINMARKETCAP,20240325,3590.88,3454.89,3657.12,3421.79,3590.88
COINMARKETCAP,20240326,3587.50,3591.09,3678.79,3545.43,3587.50
COINMARKETCAP,20240327,3500.12,3587.31,3664.38,3460.39,3500.12
COINMARKETCAP,20240328,3561.29,3500.22,3609.71,3465.33,3561.29
COINMARKETCAP,20240329,3511.81,3561.01,3583.70,3475.73,3511.81
COINMARKETCAP,20240330,3507.94,3511.83,3566.08,3489.90,3507.94
COINMARKETCAP,20240331,3647.86,3507.95,3655.22,3507.24,3647.86
